id,minutes_asleep,minutes_in_bed,date,time
8792009665,486,503,2016-04-14,00:00:00
8792009665,363,377,2016-04-15,00:00:00
8792009665,528,547,2016-04-20,00:00:00
8792009665,391,407,2016-04-22,00:00:00
8792009665,339,360,2016-04-23,00:00:00
8792009665,423,428,2016-04-27,00:00:00
8792009665,402,416,2016-04-28,00:00:00
8792009665,398,406,2016-04-29,00:00:00
8792009665,343,360,2016-04-30,00:00:00
8792009665,503,527,2016-05-01,00:00:00
8792009665,415,423,2016-05-02,00:00:00
8792009665,516,545,2016-05-03,00:00:00
8792009665,439,463,2016-05-04,00:00:00
